id,phrase,level,main_category,sub_category,cluster
397,deeply regret,C2,Daily_Life,General_Interactions,0
398,wander aimlessly,C2,Technology_Digital,Artificial_Intelligence,0
399,deeply religious,C2,Daily_Life,General_Interactions,0
400,abrupt end,B2,Daily_Life,General_Interactions,0
401,deeply shocked,C2,Daily_Life,General_Interactions,0
402,absolute beginner,C2,Education,General,0
403,deeply unhappy,C2,Psychology_Emotions,Feelings_Emotions,0
404,bring something to an end,C2,Daily_Life,General_Interactions,0
405,extremely competitive,C2,Daily_Life,General_Interactions,0
406,close finish,C1,Daily_Life,Routine_Activities,0
407,extremely controversial,C2,Daily_Life,General_Interactions,0
408,come to an end,C2,Daily_Life,General_Interactions,0
409,extremely effective,C2,Daily_Life,General_Interactions,0
410,draw to a close,C2,Daily_Life,General_Interactions,0
411,extremely likely,C2,Technology_Digital,Social_Media,0
412,early start,C1,Communication_Media_Arts,Arts_Creativity,0
413,extremely profitable,C2,Business_Finance_Economy,Finance_Banking,0
414,end result,B2,Daily_Life,General_Interactions,0
415,extremely successful,C2,Daily_Life,General_Interactions,0
416,get off to a good start,C2,Communication_Media_Arts,Arts_Creativity,0
417,extremely unlikely,C2,Technology_Digital,Social_Media,0
418,get started,C1,Communication_Media_Arts,Arts_Creativity,0
419,extremely unusual,C2,Daily_Life,General_Interactions,0
420,holiday ended,C2,Travel_Transportation,Hotels_Tourism,0
421,feel strongly,C2,Psychology_Emotions,Feelings_Emotions,0
422,journey ended,C2,Travel_Transportation,Road_Travel,0
423,highly competitive,C2,Daily_Life,General_Interactions,0
424,make a start,C1,Communication_Media_Arts,Arts_Creativity,0
425,highly controversial,C2,Daily_Life,General_Interactions,0
426,mark the beginning of the end,C2,Daily_Life,General_Interactions,0
427,highly educated,C2,Education,General,0
428,meal ended,B2,Health_Medicine,Nutrition_Diet,0
429,nail-biting finish,C2,Technology_Digital,Artificial_Intelligence,0
430,highly likely,C2,Technology_Digital,Social_Media,0
431,perfect end,C1,Daily_Life,General_Interactions,0
432,highly profitable,C2,Business_Finance_Economy,Finance_Banking,0
433,promising start,C2,Communication_Media_Arts,Arts_Creativity,0
434,highly recommended,C2,Daily_Life,General_Interactions,0
435,put the finishing touches to,C2,Daily_Life,General_Interactions,0
436,highly successful,C2,Daily_Life,General_Interactions,0
437,trip ended,B2,Travel_Transportation,Hotels_Tourism,0
438,highly unlikely,C2,Technology_Digital,Social_Media,0
439,be a recipe for disaster,C2,Psychology_Emotions,Stress_Mental_State,0
440,highly unusual,C2,Daily_Life,General_Interactions,0
441,brilliant success,C2,Psychology_Emotions,Motivation,0
442,ridiculously cheap,C2,Daily_Life,General_Interactions,0
443,bring out the best,C2,Daily_Life,General_Interactions,0
444,ridiculously early,C2,Daily_Life,General_Interactions,0
445,come in useful,C2,Daily_Life,General_Interactions,0
446,ridiculously easy,C2,Daily_Life,General_Interactions,0
447,crowning achievement,C2,Psychology_Emotions,Motivation,0
448,ridiculously expensive,C2,Daily_Life,General_Interactions,0
449,dash someone's hopes,C2,Daily_Life,General_Interactions,0
450,ridiculously high,C2,Daily_Life,General_Interactions,0
451,dismal failure,C2,Education,Exams_Assessments,0
452,ridiculously large,C2,Daily_Life,General_Interactions,0
453,doomed to failure,C2,Education,Exams_Assessments,0
454,ridiculously long,C2,Daily_Life,Time_Management,0
455,dramatic improvement,C2,Daily_Life,General_Interactions,0
456,ridiculously low,C2,Daily_Life,General_Interactions,0
457,effective way,C2,Daily_Life,General_Interactions,0
458,ridiculously short,C2,Daily_Life,Time_Management,0
459,enjoy the fruits of,C2,Psychology_Emotions,Feelings_Emotions,0
460,ridiculously small,C2,Daily_Life,General_Interactions,0
461,excellent grasp of,C2,Science_Nature,Biology_Life_Sciences,0
462,fail an exam,C1,Education,Exams_Assessments,0
463,strongly believe,C2,Daily_Life,General_Interactions,0
464,fail miserably,C2,Education,Exams_Assessments,0
465,strongly condemn,C2,Daily_Life,General_Interactions,0
466,gain good marks,C2,Education,General,0
467,go badly wrong,C2,Daily_Life,General_Interactions,0
468,strongly dislike,C2,Technology_Digital,Social_Media,0
469,go out of business,C2,Business_Finance_Economy,Business_Management,0
470,strongly influence,C2,Daily_Life,General_Interactions,0
471,great success,C2,Psychology_Emotions,Motivation,0
472,guarantee success,C2,Daily_Life,General_Interactions,0
473,strongly opposed,C2,Daily_Life,General_Interactions,0
474,hard work,B2,Business_Finance_Economy,Jobs_Careers,0
475,strongly recommend,C2,Daily_Life,General_Interactions,0
476,have a grasp of,C2,Daily_Life,General_Interactions,0
477,strongly suggest,C2,Daily_Life,General_Interactions,0
